code,name,description,language,category,category-name,category-description
89,"Europe, regional",,en,,,
189,"North of Sahara, regional",,en,,,
289,"South of Sahara, regional",,en,,,
298,"Africa, regional",,en,,,
380,"West Indies, regional",,en,,,
389,"North and Central America, regional",,en,,,
489,"South America, regional",,en,,,
498,"America, regional",,en,,,
589,"Middle East, regional",,en,,,
619,"Central Asia, regional",,en,,,
679,"South Asia, regional",,en,,,
689,"South and Central Asia, regional",,en,,,
789,"Far East Asia, regional",,en,,,
798,"Asia, regional",,en,,,
889,"Oceania, regional",,en,,,
998,"Bilateral, unspecified",,en,,,
